;NomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;Fornecedor;CNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
4806;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO JK LTDA;3480000000000.0;561065;0;2/28/2017 0:00;70.0;0.0;70.0;2;2017;0;;;1363512;5761.0;0.0;2408;6224558
4807;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;Auto Posto JK Ltda.;3480000000000.0;574453;0;3/17/2017 0:00;35.0;0.0;35.0;3;2017;0;;;1370728;5788.0;0.0;2408;6244778
4808;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO JR LTDA.;7340000000000.0;608820;0;4/21/2017 0:00;100.0;0.0;100.0;4;2017;0;;;1377717;5828.0;0.0;2408;6266120
4809;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO LS COM. DERIVADOS DE PETRÓLEO LTDA;5260000000000.0;553440;0;3/31/2017 0:00;28.0;0.0;28.0;3;2017;0;;;1374485;5819.0;0.0;2408;6255818
4810;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO VALPARAÍSO LTDA;1140000000000.0;34451;0;6/24/2017 0:00;50.0;0.0;50.0;6;2017;0;;;1399507;5890.0;0.0;2408;6323076
4811;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BRASAL COMBUSTIVEIS LTDA;97626000168.0;174040;0;7/1/2017 0:00;100.0;0.0;100.0;7;2017;0;;;1400825;5889.0;0.0;2408;6327254
4812;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BRASAL COMBUSTIVEIS LTDA;97626000400.0;112370;0;4/25/2017 0:00;150.0;0.0;150.0;4;2017;0;;;1382670;5833.0;0.0;2408;6273936
4813;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;Brasal Combustível Ltda.;97626000400.0;102549;0;3/28/2017 0:00;100.0;0.0;100.0;3;2017;0;;;1371494;5798.0;0.0;2408;6247395
4814;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;Brasal Combustível Ltda.;97626000400.0;106134;0;4/6/2017 0:00;150.0;0.0;150.0;4;2017;0;;;1374486;5819.0;0.0;2408;6255831
4815;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS P VEICULOS LTDA;307000000000.0;84449;0;6/25/2017 0:00;64.36;0.0;64.36;6;2017;0;;;1399507;5890.0;0.0;2408;6323014
